INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
DTXSID90281967,DSSTox_Substance_Id,DTXSID90281967,2-(benzylamino)-1-phenylethanol,OC(CNCC1=CC=CC=C1)C1=CC=CC=C1
DTXSID1044514,DSSTox_Substance_Id,DTXSID1044514,Hexylparaben,CCCCCCOC(=O)C1=CC=C(O)C=C1
DTXSID90419187,DSSTox_Substance_Id,DTXSID90419187,NSC133488,OC(=O)C1=CC=C(C=C1)S(=O)(=O)NNC1=C2C=CC=CC2=NC1=O
DTXSID20182175,DSSTox_Substance_Id,DTXSID20182175,GW 4064,CC(C)C1=C(COC2=CC(Cl)=C(C=CC3=CC(=CC=C3)C(O)=O)C=C2)C(=NO1)C1=C(Cl)C=CC=C1Cl
DTXSID50234030,DSSTox_Substance_Id,DTXSID50234030,Ladarixin,C[C@@H](C(=O)NS(C)(=O)=O)C1=CC=C(OS(=O)(=O)C(F)(F)F)C=C1
DTXSID1037563,DSSTox_Substance_Id,DTXSID1037563,Imidacloprid urea,ClC1=CC=C(CN2CCNC2=O)C=N1
DTXSID20202266,DSSTox_Substance_Id,DTXSID20202266,"Acetamide, N-(1,4-dihydro-3-chloro-1,4-dioxo-2-naphthyl)-",CC(=O)NC1=C(Cl)C(=O)C2=CC=CC=C2C1=O
DTXSID90352681,DSSTox_Substance_Id,DTXSID90352681,4-benzyl-N-phenylpiperazine-1-carboxamide,O=C(NC1=CC=CC=C1)N1CCN(CC2=CC=CC=C2)CC1
DTXSID40366753,DSSTox_Substance_Id,DTXSID40366753,ST50269096,CCOC(=O)CNC(=O)\C=C\C1=CC2=C(OCO2)C=C1
DTXSID70284416,DSSTox_Substance_Id,DTXSID70284416,6-[(4-aminobenzoyl)amino]naphthalene-2-sulfonic acid,NC1=CC=C(C=C1)C(=O)NC1=CC2=C(C=C1)C=C(C=C2)S(O)(=O)=O
DTXSID5040758,DSSTox_Substance_Id,DTXSID5040758,AM580,CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O
DTXSID9058157,DSSTox_Substance_Id,DTXSID9058157,Fenpropidin,CC(CN1CCCCC1)CC1=CC=C(C=C1)C(C)(C)C
DTXSID3022958,DSSTox_Substance_Id,DTXSID3022958,DL-Dobutamine,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
DTXSID50174588,DSSTox_Substance_Id,DTXSID50174588,"Dibenz(b,f)(1,4)oxazepine, 11-(4-methyl-1-piperazinyl)-",CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=CC=CC=C12
DTXSID90430791,DSSTox_Substance_Id,DTXSID90430791,3-[(2R)-4-propylmorpholin-2-yl]phenol,CCCN1CCO[C@@H](C1)C1=CC(O)=CC=C1
DTXSID30605209,DSSTox_Substance_Id,DTXSID30605209,8-Acetyl-11-hydroxyheptadecanoic acid,CCCCCCC(O)CCC(CCCCCCC(O)=O)C(C)=O
DTXSID20647592,DSSTox_Substance_Id,DTXSID20647592,"7-(2-Chloro-5-methoxyphenyl)-5-methyl-N-{4-[2-(pyrrolidin-1-yl)ethoxy]phenyl}-1,2,4-benzotriazin-3-amine",COC1=CC(=C(Cl)C=C1)C1=CC2=C(N=C(NC3=CC=C(OCCN4CCCC4)C=C3)N=N2)C(C)=C1
DTXSID70861544,DSSTox_Substance_Id,DTXSID70861544,Prasugrel,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1
DTXSID10430617,DSSTox_Substance_Id,DTXSID10430617,1-(2-Benzylidenehydrazinyl)phthalazine,N(\N=C\C1=CC=CC=C1)C1=NN=CC2=CC=CC=C12
DTXSID5045045,DSSTox_Substance_Id,DTXSID5045045,4-Ethenylbenzenesulfonic acid,OS(=O)(=O)C1=CC=C(C=C)C=C1
DTXSID70211727,DSSTox_Substance_Id,DTXSID70211727,"Benzenesulfonamide, 4-amino-N-(3-aminophenyl)-",NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC(N)=C1
DTXSID20456707,DSSTox_Substance_Id,DTXSID20456707,"1,4-Naphthalenedione, 2-bromo-3-ethyl-",CCC1=C(Br)C(=O)C2=CC=CC=C2C1=O
DTXSID7032424,DSSTox_Substance_Id,DTXSID7032424,Mesotrione,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O
DTXSID40314411,DSSTox_Substance_Id,DTXSID40314411,"1-Methyl-8-phenyl-3,7-dihydro-1H-purine-2,6-dione",CN1C(=O)NC2=C(NC(=N2)C2=CC=CC=C2)C1=O
DTXSID50368485,DSSTox_Substance_Id,DTXSID50368485,2-chloro-N-(3-phenoxyphenyl)acetamide,ClCC(=O)NC1=CC(OC2=CC=CC=C2)=CC=C1
DTXSID8048444,DSSTox_Substance_Id,DTXSID8048444,Itriglumide,CC1=CC(C(=O)N2CCC3(CCCC3)CC2)=C(NC(=O)C[C@H](CC(O)=O)C2=CC=CC3=C2C=CC=C3)C(C)=C1
DTXSID5046984,DSSTox_Substance_Id,DTXSID5046984,Benzethonium,CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1
DTXSID60174337,DSSTox_Substance_Id,DTXSID60174337,"2-Imidazolidinecarboxamide, N-hydroxy-1,3-bis((4-methoxyphenyl)sulfonyl)-",COC1=CC=C(C=C1)S(=O)(=O)N1CCN(C1C(=O)NO)S(=O)(=O)C1=CC=C(OC)C=C1
DTXSID70434696,DSSTox_Substance_Id,DTXSID70434696,"N-(2-chloro-4-iodophenyl)-2-methyl-3,4-dihydro-2H-pyrrol-5-amine",CC1CCC(NC2=C(Cl)C=C(I)C=C2)=N1
DTXSID30179617,DSSTox_Substance_Id,DTXSID30179617,Benzyl 4-hydroxyphenyl ketone,OC1=CC=C(C=C1)C(=O)CC1=CC=CC=C1
DTXSID90363277,DSSTox_Substance_Id,DTXSID90363277,2-(benzenesulfonyl)-1-(4-fluorophenyl)ethanone,FC1=CC=C(C=C1)C(=O)CS(=O)(=O)C1=CC=CC=C1
DTXSID50195334,DSSTox_Substance_Id,DTXSID50195334,"Spiro(cyclopentane-1,3'-indoline), 1'-acetyl-",CC(=O)N1CC2(CCCC2)C2=CC=CC=C12
DTXSID40366773,DSSTox_Substance_Id,DTXSID40366773,"2,2,3,3-Tetrafluoropropyl 5-[(2-methoxyphenyl)amino]-5-oxopentanoate",COC1=CC=CC=C1NC(=O)CCCC(=O)OCC(F)(F)C(F)F
DTXSID90158665,DSSTox_Substance_Id,DTXSID90158665,Bmy 43351,O=C(CCCOC1=CC2=CC3=C(NC(=O)N3)N=C2C=C1)N1CCN(CC2CCCCC2)CC1
